"Sample Date","variable","value","calculated","popUp"
2022-06-24,"Vermont Ave. and 70th St. (PQ100)",0.158,15.8,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-06-24<b>   Observación:</b> 0.158 ng/m3</br></br><b>Esta lectura es 15.8 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-06-29,"Vermont Ave. and 70th St. (PQ100)",0.027,2.7,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-06-29<b>   Observación:</b> 0.027 ng/m3</br></br><b>Esta lectura es 2.7 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-05,"Vermont Ave. and 70th St. (PQ100)",0.017,1.7,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-05<b>   Observación:</b> 0.017 ng/m3</br></br><b>Esta lectura es 1.7 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-07,"Vermont Ave. and 70th St. (PQ100)",0.105,10.5,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-07<b>   Observación:</b> 0.105 ng/m3</br></br><b>Esta lectura es 10.5 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-11,"Vermont Ave. and 70th St. (PQ100)",0.0201,2.01,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-11<b>   Observación:</b> 0.0201 ng/m3</br></br><b>Esta lectura es 2.01 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-14,"Vermont Ave. and 70th St. (PQ100)",0.0245,2.45,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-14<b>   Observación:</b> 0.0245 ng/m3</br></br><b>Esta lectura es 2.45 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-16,"Vermont Ave. and 70th St. (PQ100)",0.0354,3.54,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-16<b>   Observación:</b> 0.0354 ng/m3</br></br><b>Esta lectura es 3.54 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-21,"Vermont Ave. and 70th St. (PQ100)",0.0688,6.88,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-21<b>   Observación:</b> 0.0688 ng/m3</br></br><b>Esta lectura es 6.88 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-24,"Vermont Ave. and 70th St. (PQ100)",0.0642,6.42,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-24<b>   Observación:</b> 0.0642 ng/m3</br></br><b>Esta lectura es 6.42 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
2022-07-29,"Vermont Ave. and 70th St. (PQ100)",0.0292,2.92,"<b>Monitor de Aire:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Fecha:</b> 2022-07-29<b>   Observación:</b> 0.0292 ng/m3</br></br><b>Esta lectura es 2.92 veces mayor que </br>el umbral de riesgo de la EPA.</b>"
